Date,Rank,Gross,Total Gross,% Change,Theaters,Per Theater,Week
17-Jul-09,1,77835727,  158022354,,"4,325",17997,1
24-Jul-09,2,29462187,  221295818,-0.62,"4,325",6812,2
31-Jul-09,2,17909385,  255672245,-0.39,"4,393",4077,3
7-Aug-09,4,8928349,  273848633,-0.5,"3,455",2584,4
14-Aug-09,7,5141072,  283879025,-0.42,"2,771",1855,5
21-Aug-09,8,3478149,  290238524,-0.32,"1,936",1797,6
28-Aug-09,11,2466423,  294258075,-0.29,"1,508",1636,7
4-Sep-09,14,1828140,  296940258,-0.26,"1,091",1676,8
11-Sep-09,18,908482,  298844700,-0.5,744,1221,9
18-Sep-09,22,426987,  299576295,-0.53,415,1029,10
